house_number,hhcount,hh_income,latitude,longitude,household_sample_size
906,3,20000,8224850.415918648,690154.2985285514,3
907,3,30,8232991.919876596,688457.3852652279,3
908,2,40000,8224725.795285206,685665.5411942233,2
909,6,20000,8228619.3495328445,691289.6853781088,6
910,4,30000,8228443.856259143,690918.8975079318,4
911,4,20000,8239735.416121814,687964.4253849267,4
912,3,28000,8228545.302614788,690900.5395772909,3
913,4,20000,8229838.727043922,685152.1691560978,4
914,4,30000,8228540.103651147,690949.531582074,4
915,6,10000,8239683.930668321,687834.126809746,6
916,4,50000,8233540.972325343,688304.2125557908,4
917,4,20000,8228456.822942914,690855.5499850116,4
918,6,5000,8224141.672736235,685685.2696250054,6
919,3,10000,8224362.0711892005,685889.4331130742,3
