house_number,hhcount,hh_income,latitude,longitude,household_sample_size
42,2,40000,8263630.563348817,714268.7652249915,2
43,6,30000,8265683.298516743,714843.4938782556,6
44,6,350000,8264553.204704699,713516.2600734542,6
45,6,50000,8261610.352582737,716129.9324931833,6
46,7,30000,8261784.878384938,715401.244480453,7
47,7,20000,8265506.716796139,715009.1591098211,7
48,8,150000,8265398.391170057,713884.1049225895,8
49,6,60000,8265422.555900734,713476.7428654071,6
50,6,350000,8261568.643023175,715746.6463472089,6
51,3,120000,8262544.9045254495,713476.2967897109,3
52,6,30000,8261051.845617354,714725.6309626593,6
53,5,30000,8262309.191859072,715379.9877997556,5
54,6,150000,8264191.003443545,715484.9146004213,6
55,5,50000,8263057.266596122,714836.8121393675,5
56,6,100000,8262265.463535123,716400.3184697871,6
57,6,120000,8265846.25948902,715327.9349520423,6
58,7,70000,8265154.770622789,715584.3077400276,7
59,4,30000,8265645.584996445,715441.985511908,4
60,6,120000,8261782.857271384,715689.7726927361,6
61,4,20000,8261312.689401107,716244.5444841585,4
62,4,50000,8262917.851193827,714376.9201596763,4
63,3,270000,8263290.055915351,714165.362023937,3
64,4,40000,8263728.273484565,715024.6802467696,4
65,3,20000,8262350.992912149,715695.0450553304,3
66,7,30000,8265266.671378737,712391.7932772054,7
67,6,50000,8262622.864201837,715279.5688434489,6
68,4,40000,8262390.694361424,715414.0348944403,4
69,2,50000,8263469.053966301,714698.9468361528,2
70,2,50000,8265477.468948797,715004.9842636774,2
